fecha,cola_nombre,alertadas,respondidas,manejadas,no_contestadas,salientes,tiempoManejo,EnPlataforma,Ocupado_GestionBackOffice,Disponible,tiempoAlertado,tiempoConversacion_Entrantes,tasa_abandono,ratio_ocupacion,AHT,ASA,ATT
2025-04-01,CMP_COV_BGPURGENCIAS_ESSD8401,24,18,28,6,10,0.07,429.29,0.34,0.03,0.0,0.05,23.48,68.35,0.03,0.16,0.02
2025-04-01,CMP_COV_BGP_ESSD8401,743,656,765,87,109,1.91,434.7,0.22,0.07,0.1,1.71,4.96,84.96,0.03,0.07,0.02
2025-04-01,CMP_MKT_BGPURGENCIAS_ESSD8401,18,17,92,1,75,0.58,486.94,3.33,0.01,0.01,0.14,5.0,98.89,0.03,0.08,0.03
2025-04-01,CMP_MKT_BGP_ESSD8401,1107,1061,1661,46,600,2.29,481.11,4.29,0.04,0.06,1.7,2.17,94.41,0.04,0.05,0.03
2025-04-02,CMP_COV_BGPURGENCIAS_ESSD8401,40,18,40,22,22,0.09,388.96,0.25,0.04,0.01,0.05,37.75,62.21,0.04,0.0,0.04
2025-04-02,CMP_COV_BGP_ESSD8401,722,618,739,104,121,1.62,425.21,0.71,0.15,0.09,1.39,11.92,77.64,0.03,0.06,0.02
2025-04-02,CMP_MKT_BGPURGENCIAS_ESSD8401,28,25,76,3,51,0.35,486.49,3.96,0.03,0.01,0.12,4.0,77.97,0.02,0.07,0.02
2025-04-02,CMP_MKT_BGP_ESSD8401,1209,1150,1764,59,614,2.07,485.86,4.22,0.06,0.06,1.53,2.23,95.48,0.04,0.05,0.02
2025-04-03,CMP_COV_BGPURGENCIAS_ESSD8401,22,17,34,5,17,0.09,390.99,0.14,0.04,0.0,0.06,12.5,73.28,0.04,0.16,0.04
2025-04-03,CMP_COV_BGP_ESSD8401,665,599,743,66,144,1.75,438.37,0.65,0.07,0.08,1.51,4.27,92.78,0.04,0.06,0.02
2025-04-03,CMP_MKT_BGPURGENCIAS_ESSD8401,13,12,72,1,60,0.41,487.32,3.75,0.0,0.01,0.09,3.12,98.28,0.02,0.1,0.03
2025-04-03,CMP_MKT_BGP_ESSD8401,1113,1082,1656,31,574,2.06,464.52,4.2,0.02,0.05,1.49,1.38,96.11,0.04,0.05,0.02
2025-04-04,CMP_COV_BGPURGENCIAS_ESSD8401,30,23,47,7,24,0.13,387.82,0.26,0.11,0.01,0.08,18.06,66.29,0.04,0.0,0.03
2025-04-04,CMP_COV_BGP_ESSD8401,613,558,751,55,193,1.6,409.83,0.65,0.14,0.07,1.25,3.68,88.04,0.03,0.05,0.02
2025-04-04,CMP_MKT_BGPURGENCIAS_ESSD8401,13,12,51,1,39,0.25,427.81,2.84,0.63,0.0,0.07,10.0,74.45,0.03,0.08,0.02
2025-04-04,CMP_MKT_BGP_ESSD8401,1020,998,1708,22,710,1.91,424.95,3.62,0.12,0.05,1.34,5.42,92.94,0.03,0.05,0.02
2025-04-07,CMP_COV_BGPURGENCIAS_ESSD8401,20,14,31,6,17,0.08,429.87,0.16,0.03,0.0,0.04,28.33,58.86,0.02,0.0,0.02
2025-04-07,CMP_COV_BGP_ESSD8401,650,591,740,59,149,1.77,437.84,0.45,0.09,0.09,1.51,4.64,91.75,0.03,0.07,0.02
2025-04-07,CMP_MKT_BGPURGENCIAS_ESSD8401,16,16,62,0,46,0.48,489.82,3.2,0.01,0.01,0.14,0.0,77.38,0.03,0.07,0.03
2025-04-07,CMP_MKT_BGP_ESSD8401,1298,1271,1900,27,628,2.27,480.62,4.0,0.02,0.06,1.71,1.37,97.48,0.04,0.07,0.03
2025-04-08,CMP_COV_BGPURGENCIAS_ESSD8401,24,18,31,6,13,0.07,433.44,0.12,0.04,0.0,0.04,25.69,56.41,0.02,0.0,0.02
2025-04-08,CMP_COV_BGP_ESSD8401,654,584,723,70,139,1.68,423.68,0.3,0.07,0.08,1.46,5.09,87.34,0.03,0.06,0.02
2025-04-08,CMP_MKT_BGPURGENCIAS_ESSD8401,9,9,23,0,14,0.32,486.08,2.5,0.0,0.01,0.18,0.0,98.67,0.03,0.13,0.04
2025-04-08,CMP_MKT_BGP_ESSD8401,1233,1201,1811,32,610,2.27,471.93,4.33,0.02,0.06,1.72,1.32,96.95,0.04,0.06,0.03
2025-04-09,CMP_COV_BGPURGENCIAS_ESSD8401,16,10,40,6,30,0.11,424.96,0.43,0.01,0.0,0.04,12.04,81.48,0.04,0.22,0.03
2025-04-09,CMP_COV_BGP_ESSD8401,575,513,623,62,110,1.7,418.4,0.45,0.21,0.07,1.45,5.63,88.55,0.03,0.06,0.02
2025-04-09,CMP_MKT_BGPURGENCIAS_ESSD8401,14,12,29,2,17,0.2,468.95,3.19,0.04,0.01,0.09,16.67,73.18,0.03,0.15,0.03
2025-04-09,CMP_MKT_BGP_ESSD8401,1267,1244,1911,23,667,2.26,484.38,3.96,0.02,0.06,1.67,3.88,96.23,0.04,0.0,0.03
2025-04-10,CMP_COV_BGPURGENCIAS_ESSD8401,20,14,31,6,17,0.09,430.0,0.4,0.1,0.0,0.03,22.73,60.85,0.03,0.0,0.02
2025-04-10,CMP_COV_BGP_ESSD8401,538,483,624,55,141,1.68,421.75,0.58,0.08,0.07,1.4,5.16,93.37,0.03,0.07,0.02
2025-04-10,CMP_MKT_BGPURGENCIAS_ESSD8401,6,6,82,0,76,0.28,456.69,4.85,0.05,0.0,0.04,0.0,85.82,0.03,0.05,0.02
2025-04-10,CMP_MKT_BGP_ESSD8401,1133,1108,1590,25,482,2.12,475.95,3.85,0.03,0.06,1.62,1.18,97.62,0.04,0.06,0.03
2025-04-11,CMP_COV_BGPURGENCIAS_ESSD8401,16,11,38,5,27,0.1,364.66,0.23,0.03,0.0,0.03,38.89,49.13,0.02,0.0,0.02
2025-04-11,CMP_COV_BGP_ESSD8401,511,484,619,27,135,1.62,412.94,0.29,0.09,0.06,1.37,2.53,88.08,0.04,0.05,0.02
2025-04-11,CMP_MKT_BGPURGENCIAS_ESSD8401,5,5,38,0,33,0.36,429.74,2.07,0.0,0.0,0.04,0.0,97.77,0.02,0.1,0.02
2025-04-11,CMP_MKT_BGP_ESSD8401,1030,1006,1641,24,635,2.17,425.49,3.18,0.02,0.06,1.56,2.56,99.19,0.04,0.07,0.03
2025-04-14,CMP_COV_BGPURGENCIAS_ESSD8401,18,14,31,4,17,0.12,429.56,0.38,0.02,0.01,0.04,12.29,80.23,0.03,0.15,0.02
2025-04-14,CMP_COV_BGP_ESSD8401,749,675,797,74,122,2.3,450.83,0.15,0.09,0.1,2.0,5.04,91.63,0.04,0.07,0.02
2025-04-14,CMP_MKT_BGPURGENCIAS_ESSD8401,13,12,123,1,111,0.63,486.78,4.25,0.03,0.0,0.11,12.5,93.81,0.02,0.11,0.03
2025-04-14,CMP_MKT_BGP_ESSD8401,1199,1157,1935,42,777,2.59,479.31,3.87,0.05,0.07,1.85,8.48,90.91,0.03,0.0,0.03
2025-04-15,CMP_COV_BGPURGENCIAS_ESSD8401,37,30,45,7,15,0.07,429.08,0.52,0.06,0.01,0.04,9.72,72.17,0.02,0.16,0.02
2025-04-15,CMP_COV_BGP_ESSD8401,626,575,691,51,116,1.85,441.12,0.42,0.1,0.08,1.64,3.57,89.51,0.03,0.06,0.02
2025-04-15,CMP_MKT_BGPURGENCIAS_ESSD8401,15,14,53,1,39,0.24,484.18,3.57,0.01,0.01,0.08,6.25,85.44,0.02,0.05,0.01
2025-04-15,CMP_MKT_BGP_ESSD8401,1081,1057,1785,24,728,2.38,472.79,3.75,0.02,0.06,1.68,1.25,97.97,0.04,0.06,0.03
2025-04-16,CMP_COV_BGPURGENCIAS_ESSD8401,24,19,31,5,12,0.09,413.25,0.66,0.05,0.01,0.07,15.0,72.06,0.04,0.16,0.03
2025-04-16,CMP_COV_BGP_ESSD8401,504,467,595,37,128,1.68,433.15,0.76,0.08,0.07,1.45,3.44,92.86,0.04,0.06,0.02
2025-04-16,CMP_MKT_BGPURGENCIAS_ESSD8401,13,13,110,0,97,0.71,489.69,4.48,0.0,0.01,0.15,0.0,99.72,0.02,0.05,0.02
2025-04-16,CMP_MKT_BGP_ESSD8401,900,874,1534,26,660,2.56,482.39,4.04,0.02,0.06,1.8,1.92,98.75,0.04,0.07,0.03
2025-04-17,CMP_COV_BGPURGENCIAS_ESSD8401,17,15,24,2,9,0.15,418.38,0.47,0.17,0.01,0.12,14.29,75.92,0.05,0.17,0.04
2025-04-17,CMP_COV_BGP_ESSD8401,189,173,289,16,116,0.99,442.5,1.05,0.13,0.04,0.77,4.4,92.2,0.05,0.07,0.02
2025-04-17,CMP_MKT_BGPURGENCIAS_ESSD8401,6,6,90,0,84,0.5,480.16,5.31,0.01,0.0,0.11,0.0,98.85,0.03,0.02,0.02
2025-04-17,CMP_MKT_BGP_ESSD8401,157,139,964,18,825,2.17,485.63,5.48,0.02,0.02,0.64,14.66,90.21,0.03,0.0,0.02
